date,activity,count,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-23,Pick Ups,163,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-24,Pick Ups,234,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-25,Pick Ups,199,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26,Pick Ups,200,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,Pick Ups,253,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,Pick Ups,379,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-29,Pick Ups,204,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-23,Notificaciones,326,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-24,Notificaciones,406,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-25,Notificaciones,383,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26,Notificaciones,446,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,Notificaciones,486,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,Notificaciones,362,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-29,Notificaciones,365,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-30,Pick Ups,206,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,Pick Ups,242,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Pick Ups,186,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-02,Pick Ups,190,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,Pick Ups,307,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-04,Pick Ups,288,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-05,Pick Ups,230,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-30,Notificaciones,524,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,Notificaciones,531,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,Notificaciones,518,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-02,Notificaciones,458,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,Notificaciones,536,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-04,Notificaciones,358,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-05,Notificaciones,557,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-06,Pick Ups,205,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07,Pick Ups,126,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-08,Pick Ups,160,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-09,Pick Ups,167,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,Pick Ups,183,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-11,Pick Ups,198,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-12,Pick Ups,215,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-06,Notificaciones,371,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07,Notificaciones,307,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-08,Notificaciones,335,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-09,Notificaciones,428,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,Notificaciones,568,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-11,Notificaciones,321,,,,,,,,,,,,,,,,,,,,,,,,,
