date,app,minutes,,,,,,,,
2021-08-23,Instagram,125,,,,,,,,
2021-08-23,Photos,5,,,,,,,,
2021-08-23,Safari,19,,,,,,,,
2021-08-23,Spotify,15,,,,,,,,
2021-08-23,Tik Tok,71,,,,,,,,
2021-08-23,Whats App,83,,,,,,,,
2021-08-24,Instagram,149,,,,,,,,
2021-08-24,Photos,10,,,,,,,,
2021-08-24,Safari,5,,,,,,,,
2021-08-24,Spotify,25,,,,,,,,
2021-08-24,Tik Tok,19,,,,,,,,
2021-08-24,Whats App,99,,,,,,,,
2021-08-25,Instagram,131,,,,,,,,
2021-08-25,Photos,3,,,,,,,,
2021-08-25,Safari,33,,,,,,,,
2021-08-25,Spotify,0,,,,,,,,
2021-08-25,Tik Tok,19,,,,,,,,
2021-08-25,Whats App,112,,,,,,,,
2021-08-26,Instagram,109,,,,,,,,
2021-08-26,Photos,7,,,,,,,,
2021-08-26,Safari,15,,,,,,,,
2021-08-26,Spotify,0,,,,,,,,
2021-08-26,Tik Tok,64,,,,,,,,
2021-08-26,Whats App,172,,,,,,,,
2021-08-27,Instagram,153,,,,,,,,
2021-08-27,Photos,23,,,,,,,,
2021-08-27,Safari,21,,,,,,,,
2021-08-27,Spotify,35,,,,,,,,
2021-08-27,Tik Tok,17,,,,,,,,
2021-08-27,Whats App,104,,,,,,,,
2021-08-28,Instagram,150,,,,,,,,
2021-08-28,Photos,6,,,,,,,,
2021-08-28,Safari,1,,,,,,,,
2021-08-28,Spotify,28,,,,,,,,
2021-08-28,Tik Tok,35,,,,,,,,
2021-08-28,Whats App,79,,,,,,,,
2021-08-29,Instagram,81,,,,,,,,
2021-08-29,Photos,7,,,,,,,,
2021-08-29,Safari,20,,,,,,,,
2021-08-29,Spotify,0,,,,,,,,
2021-08-29,Tik Tok,60,,,,,,,,
2021-08-29,Whats App,67,,,,,,,,
2021-08-30,Instagram,112,,,,,,,,
2021-08-30,Photos,20,,,,,,,,
2021-08-30,Safari,5,,,,,,,,
2021-08-30,Spotify,0,,,,,,,,
2021-08-30,Tik Tok,44,,,,,,,,
2021-08-30,Whats App,84,,,,,,,,
2021-08-31,Instagram,107,,,,,,,,
2021-08-31,Photos,5,,,,,,,,
2021-08-31,Safari,10,,,,,,,,
2021-08-31,Spotify,15,,,,,,,,
2021-08-31,Tik Tok,27,,,,,,,,
2021-08-31,Whats App,59,,,,,,,,
2021-09-01,Instagram,243,,,,,,,,
2021-09-01,Photos,9,,,,,,,,
2021-09-01,Safari,6,,,,,,,,
2021-09-01,Spotify,4,,,,,,,,
2021-09-01,Tik Tok,56,,,,,,,,
2021-09-01,Whats App,91,,,,,,,,
2021-09-02,Instagram,101,,,,,,,,
2021-09-02,Photos,0,,,,,,,,
2021-09-02,Safari,12,,,,,,,,
2021-09-02,Spotify,6,,,,,,,,
2021-09-02,Tik Tok,67,,,,,,,,
2021-09-02,Whats App,92,,,,,,,,
2021-09-03,Instagram,99,,,,,,,,
2021-09-03,Photos,2,,,,,,,,
2021-09-03,Safari,3,,,,,,,,
2021-09-03,Spotify,0,,,,,,,,
2021-09-03,Tik Tok,72,,,,,,,,
2021-09-03,Whats App,73,,,,,,,,
2021-09-04,Instagram,126,,,,,,,,
2021-09-04,Photos,8,,,,,,,,
2021-09-04,Safari,0,,,,,,,,
2021-09-04,Spotify,8,,,,,,,,
2021-09-04,Tik Tok,101,,,,,,,,
2021-09-04,Whats App,59,,,,,,,,
2021-09-05,Instagram,159,,,,,,,,
2021-09-05,Photos,21,,,,,,,,
2021-09-05,Safari,4,,,,,,,,
2021-09-05,Spotify,1,,,,,,,,
2021-09-05,Tik Tok,106,,,,,,,,
2021-09-05,Whats App,77,,,,,,,,
2021-09-06,Instagram,146,,,,,,,,
2021-09-06,Photos,10,,,,,,,,
2021-09-06,Safari,9,,,,,,,,
2021-09-06,Spotify,7,,,,,,,,
2021-09-06,Tik Tok,57,,,,,,,,
2021-09-06,Whats App,57,,,,,,,,
2021-09-07,Instagram,110,,,,,,,,
2021-09-07,Photos,8,,,,,,,,
2021-09-07,Safari,5,,,,,,,,
2021-09-07,Spotify,0,,,,,,,,
2021-09-07,Tik Tok,70,,,,,,,,
2021-09-07,Whats App,19,,,,,,,,
2021-09-08,Instagram,94,,,,,,,,
2021-09-08,Photos,7,,,,,,,,
2021-09-08,Safari,5,,,,,,,,
2021-09-08,Spotify,10,,,,,,,,
2021-09-08,Tik Tok,65,,,,,,,,
2021-09-08,Whats App,33,,,,,,,,
2021-09-09,Instagram,49,,,,,,,,
2021-09-09,Photos,0,,,,,,,,
2021-09-09,Safari,34,,,,,,,,
2021-09-09,Spotify,7,,,,,,,,
2021-09-09,Tik Tok,22,,,,,,,,
2021-09-09,Whats App,56,,,,,,,,
2021-09-10,Instagram,163,,,,,,,,
2021-09-10,Photos,10,,,,,,,,
2021-09-10,Safari,14,,,,,,,,
2021-09-10,Spotify,0,,,,,,,,
2021-09-10,Tik Tok,79,,,,,,,,
2021-09-10,Whats App,97,,,,,,,,
2021-09-11,Instagram,107,,,,,,,,
2021-09-11,Photos,6,,,,,,,,
2021-09-11,Safari,0,,,,,,,,
2021-09-11,Spotify,18,,,,,,,,
2021-09-11,Tik Tok,95,,,,,,,,
2021-09-11,Whats App,92,,,,,,,,
2021-09-12,Instagram,134,,,,,,,,
2021-09-12,Photos,17,,,,,,,,
2021-09-12,Safari,11,,,,,,,,
2021-09-12,Spotify,3,,,,,,,,
2021-09-12,Tik Tok,32,,,,,,,,
2021-09-12,Whats App,130,,,,,,,,
